nome,level,troféus,papel
VITTOLA,13,6371,coLeader
☆JOTTACLASH☆,13,6254,coLeader
Pedro ikharo,13,6135,member
Diozer,13,5979,elder
Paxenxo13,13,5967,member
Lucas Anzai,13,5949,elder
Jr. Fênix,13,5925,coLeader
Richard Castro,13,5842,elder
Kaio OPI,13,5829,member
MAITO GAI 8°P,13,5790,member
A.L.A.N,13,5788,member
ChrisReiDelas,13,5775,member
Eazy-E,13,5733,member
GéH BeLo,13,5696,coLeader
CAIOXL,13,5681,member
ashi,12,5625,member
Lynch,11,5610,member
Tripa Seca,13,5609,member
Dienio,13,5559,member
yDanT,12,5536,member
crow,11,5532,member
Maximus,13,5531,coLeader
raphaella,12,5517,member
mthscouto,11,5500,member
cezar br,12,5492,member
RPP GAMES YT,13,5491,member
Careca Matador,13,5477,elder
Lendário467,12,5471,member
andremergulho,13,5458,member
felipe,13,5436,member
THChmap,12,5435,member
★※KingOfZuera※★,10,5401,member
Viléu,13,5372,member
Galo,13,5369,member
paula,13,5367,member
Vini_Alves,12,5361,member
Eduardo,12,5345,member
«Kash»,12,5345,member
DOGLINHAS CLASH,12,5338,member
lela,13,5316,coLeader
vem tranquilo ✌,12,5309,member
Itachi,11,5269,member
Sidyvicious,11,5249,member
Ermissu,11,5226,member
L&0n@rDo,13,5217,leader
SHAZAN CARAI,12,5213,elder
Zarkov,11,5170,member
Kauã Rios,12,5161,elder
Pedro,11,5157,elder
